item_id,forecast_start,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,num_masked_target_values,ND,MSIS,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.9],Coverage[0.9]
,2014-03,3842651.7320027873,35918.97055053711,37188.0,929.7,640.1388888888889,1.4027803643082404,2.574696319409805,0.9817287492238069,0.0,0.9658752971533051,56.11121457232961,18298.22877807617,0.575,35918.97055053711,0.575,53539.71232299805,0.575
,2014-04,3842730.3962990614,35970.55561828613,37035.0,925.875,637.3379310344827,1.4109687289402824,2.602262420747106,0.9991508304389052,0.0,0.9712584209068754,56.43874915761129,18398.61202697754,0.6,35970.55561828613,0.6,53542.499209594724,0.6
,2014-05,3852442.2412735494,36497.95425415039,36802.0,920.05,633.582191780822,1.4401428389095372,2.856667972609769,1.0303087497203969,0.0,0.9917383363445028,57.60571355638149,19515.27847290039,0.625,36497.95425415039,0.625,53480.630035400405,0.625
,2014-06,3860662.610868371,36892.42770385742,36400.0,910.0,631.6122448979592,1.4602482773991192,3.2590397091434204,1.0649294872030892,0.0,1.0135282336224567,58.40993109596477,20225.330682373045,0.625,36892.42770385742,0.625,53559.52472534179,0.625
,2014-07,3864803.888912396,37178.967224121094,36085.0,902.125,629.6824324324324,1.4760999080322348,3.346171218710554,1.0875012696522925,0.0,1.0303163980634915,59.04399632128939,20974.35753173828,0.65,37178.967224121094,0.65,53383.57691650391,0.65
,2014-08,3860996.0469403258,36870.65769958496,35689.0,892.225,629.0671140939597,1.4652910982594232,3.340601867744352,1.0718932662074823,0.0,1.033109857367395,58.61164393037692,21061.27077331543,0.675,36870.65769958496,0.675,52680.04462585449,0.675
,2014-09,3846138.510592042,36106.04487609863,34346.0,858.65,635.9266666666666,1.4194264358088446,3.3295932132553903,1.0574595027534972,0.0,1.0512445372415604,56.777057432353786,20918.46437072754,0.7,36106.04487609863,0.7,51293.625381469734,0.7
,2014-03,11534433.385938643,77683.4428100586,94899.0,2372.475,2145.909722222222,0.9050176016912374,0.8477308094859606,0.9294721602885627,0.0,0.8185907418419435,36.2007040676495,23689.577770996097,0.35,77683.4428100586,0.35,131677.3078491211,0.35
,2014-04,11534397.654056516,77669.03610229492,94052.0,2351.3,2166.137931034483,0.8963999359126973,0.8507901354838576,0.9321465790223742,0.0,0.8258095107206112,35.85599743650789,23754.538275146486,0.375,77669.03610229492,0.375,131583.53392944337,0.375
,2014-05,11528006.237466235,77304.04006958008,92722.0,2318.05,2162.8698630136987,0.8935354987316043,0.8598459579871719,0.9349098844555062,0.0,0.8337184278766644,35.74141994926417,23949.89170532227,0.4,77304.04006958008,0.4,130658.1884338379,0.4
,2014-06,11514872.916652132,76765.21765136719,90965.0,2274.125,2149.639455782313,0.8927685227036156,0.8797264306980894,0.941404493871446,0.0,0.8438983966510987,35.71074090814463,24191.04104003906,0.425,76765.21765136719,0.425,129339.39426269532,0.425
,2014-07,11494074.6354418,76084.64602661133,89817.0,2245.425,2135.560810810811,0.8906869525963554,0.8956353448983269,0.9342663532292365,0.0,0.8471074075799829,35.62747810385422,24488.389996337894,0.45,76084.64602661133,0.45,127680.90205688478,0.45
,2014-08,11473551.587780539,75319.17642211914,88827.0,2220.675,2121.6241610738257,0.8875178955352484,0.8899483975331293,0.9169716008406557,0.0,0.8479311067819373,35.50071582140993,24580.87415161133,0.475,75319.17642211914,0.475,126057.47869262696,0.475
,2014-09,11468758.019742152,75021.26803588867,88336.0,2208.4,2108.36,0.8895690019243472,0.8877941436738495,0.9077296816507747,0.0,0.8492717355991745,35.58276007697389,24797.869622802737,0.5,75021.26803588867,0.5,125244.66644897463,0.5
,2014-03,84036.8661841276,9238.905044555664,8245.0,206.125,205.75694444444446,1.122550817118377,1.9797874123090597,0.8151091130829016,0.0,1.120546397156539,44.902032684735076,13767.149380493167,0.7,9238.905044555664,0.7,4710.660708618164,0.7
,2014-04,83679.1117659993,9144.993507385254,8237.0,205.925,206.7103448275862,1.1060154627255046,1.9256604975694511,0.8004771583529451,0.0,1.1102335203818445,44.24061850902018,13598.108613586428,0.7,9144.993507385254,0.7,4691.878401184082,0.7
,2014-05,86784.64282387814,9400.11743927002,8031.0,200.775,207.986301369863,1.1298962212123944,2.4280244666002853,0.8357787186416206,0.0,1.170479073498944,45.19584884849578,14057.331690979005,0.7,9400.11743927002,0.7,4742.903187561034,0.7
,2014-06,87931.22430105406,9521.592262268066,7544.0,188.6,208.2517006802721,1.1430389561243637,2.768233411963816,0.8722155105982343,0.0,1.2621410740015995,45.721558244974545,14480.849409484865,0.725,9521.592262268066,0.725,4562.335115051269,0.725
,2014-07,91662.78298527331,9775.390609741211,7366.0,184.15,207.8783783783784,1.1756141603082129,2.9487069610262155,0.8838107542354653,0.0,1.3270962000734743,47.02456641232852,15205.138912963868,0.75,9775.390609741211,0.75,4345.6423065185545,0.75
,2014-08,94082.27423961065,10070.829620361328,7291.0,182.275,206.8724832214765,1.2170334913004786,3.2044716443409476,0.9215923187407536,0.0,1.3812686353533572,48.68133965201914,15762.641217041017,0.775,10070.829620361328,0.775,4379.018023681641,0.775
,2014-09,93389.52325501437,10021.43441772461,7268.0,181.7,205.56,1.2187967524961822,3.3013137126952365,0.9253813050323473,0.0,1.3788434806995886,48.751870099847295,15673.729852294924,0.775,10021.43441772461,0.775,4369.1389831542965,0.775
,2014-03,1006040.1837109529,32383.686309814453,7396.0,184.9,169.20138888888889,4.784784351132035,8.091024967900683,1.2882789073497782,0.0,4.378540604355659,191.3913740452814,58244.93999633788,0.975,32383.686309814453,0.975,6522.432623291014,0.975
,2014-04,1001630.3799734687,32137.546447753906,7003.0,175.075,170.55172413793105,4.710821102834934,8.200194010710563,1.307109042505163,0.0,4.589111301978281,188.43284411339732,57801.888244628906,0.975,32137.546447753906,0.975,6473.204650878904,0.975
,2014-05,1005082.036018366,32481.65545654297,6587.0,164.675,169.67808219178082,4.785776547708466,8.311012750196193,1.3402276880861113,0.0,4.9311758701294925,191.43106190833865,58466.979821777335,1.0,32481.65545654297,1.0,6496.3310913085925,1.0
